Survived,Pclass,Age,SibSp,Parch,Fare,Sex,Embarked,Age_Range,Fare_range
0.0,3.0,22.0,1.0,0.0,7.25,male,S,21 - 30,1 - 10
1.0,1.0,38.0,1.0,0.0,71.2833,female,C,31 - 40,41 - 80
1.0,3.0,26.0,0.0,0.0,7.925,female,S,21 - 30,1 - 10
1.0,1.0,35.0,1.0,0.0,53.1,female,S,31 - 40,41 - 80
0.0,3.0,35.0,0.0,0.0,8.05,male,S,31 - 40,1 - 10
0.0,3.0,26.5,0.0,0.0,8.4583,male,Q,21 - 30,1 - 10
0.0,1.0,54.0,0.0,0.0,51.8625,male,S,51 - 60,41 - 80
0.0,3.0,2.0,3.0,1.0,21.075,male,S,1 - 5,21 - 40
1.0,3.0,27.0,0.0,2.0,11.1333,female,S,21 - 30,11 - 20
1.0,2.0,14.0,1.0,0.0,30.0708,female,C,11 - 15,21 - 40
1.0,3.0,4.0,1.0,1.0,16.7,female,S,1 - 5,11 - 20
1.0,1.0,58.0,0.0,0.0,26.55,female,S,51 - 60,21 - 40
0.0,3.0,20.0,0.0,0.0,8.05,male,S,16 - 20,1 - 10
0.0,3.0,39.0,1.0,5.0,31.275,male,S,31 - 40,21 - 40
0.0,3.0,14.0,0.0,0.0,7.8542,female,S,11 - 15,1 - 10
1.0,2.0,55.0,0.0,0.0,16.0,female,S,51 - 60,11 - 20
0.0,3.0,2.0,4.0,1.0,29.125,male,Q,1 - 5,21 - 40
1.0,2.0,38.0,0.0,0.0,13.0,male,S,31 - 40,11 - 20
0.0,3.0,31.0,1.0,0.0,18.0,female,S,31 - 40,11 - 20
1.0,3.0,14.0,0.0,0.0,7.225,female,C,11 - 15,1 - 10
0.0,2.0,35.0,0.0,0.0,26.0,male,S,31 - 40,21 - 40
1.0,2.0,34.0,0.0,0.0,13.0,male,S,31 - 40,11 - 20
1.0,3.0,15.0,0.0,0.0,8.0292,female,Q,11 - 15,1 - 10
1.0,1.0,28.0,0.0,0.0,35.5,male,S,21 - 30,21 - 40
0.0,3.0,8.0,3.0,1.0,21.075,female,S,6 - 10,21 - 40
1.0,3.0,38.0,1.0,5.0,31.3875,female,S,31 - 40,21 - 40
0.0,3.0,37.75,0.0,0.0,7.225,male,C,31 - 40,1 - 10
0.0,1.0,19.0,3.0,2.0,263.0,male,S,16 - 20,161 - 320
1.0,3.0,22.5,0.0,0.0,7.8792,female,Q,21 - 30,1 - 10
0.0,3.0,33.0,0.0,0.0,7.8958,male,S,31 - 40,1 - 10
0.0,1.0,40.0,0.0,0.0,27.7208,male,C,31 - 40,21 - 40
1.0,1.0,40.0,1.0,0.0,146.5208,female,C,31 - 40,81 - 160
1.0,3.0,19.0,0.0,0.0,7.75,female,Q,16 - 20,1 - 10
0.0,2.0,66.0,0.0,0.0,10.5,male,S,61 - 70,11 - 20
0.0,1.0,28.0,1.0,0.0,82.1708,male,C,21 - 30,81 - 160
0.0,1.0,42.0,1.0,0.0,52.0,male,S,41 - 55,41 - 80
1.0,3.0,21.0,0.0,0.0,7.2292,male,C,21 - 30,1 - 10
0.0,3.0,21.0,0.0,0.0,8.05,male,S,21 - 30,1 - 10
0.0,3.0,18.0,2.0,0.0,18.0,female,S,16 - 20,11 - 20
1.0,3.0,14.0,1.0,0.0,11.2417,female,C,11 - 15,11 - 20
0.0,3.0,40.0,1.0,0.0,9.475,female,S,31 - 40,1 - 10
0.0,2.0,27.0,1.0,0.0,21.0,female,S,21 - 30,21 - 40
0.0,3.0,33.0,0.0,0.0,7.8958,male,C,31 - 40,1 - 10
1.0,2.0,3.0,1.0,2.0,41.5792,female,C,1 - 5,41 - 80
1.0,3.0,19.0,0.0,0.0,7.8792,female,Q,16 - 20,1 - 10
0.0,3.0,27.5,0.0,0.0,8.05,male,S,21 - 30,1 - 10
0.0,3.0,34.0,1.0,0.0,15.5,male,Q,31 - 40,11 - 20
1.0,3.0,19.0,0.0,0.0,7.75,female,Q,16 - 20,1 - 10
0.0,3.0,15.5,2.0,0.0,21.6792,male,C,16 - 20,21 - 40
0.0,3.0,18.0,1.0,0.0,17.8,female,S,16 - 20,11 - 20
0.0,3.0,7.0,4.0,1.0,39.6875,male,S,6 - 10,21 - 40
0.0,3.0,21.0,0.0,0.0,7.8,male,S,21 - 30,1 - 10
1.0,1.0,49.0,1.0,0.0,76.7292,female,C,41 - 55,41 - 80
1.0,2.0,29.0,1.0,0.0,26.0,female,S,21 - 30,21 - 40
0.0,1.0,65.0,0.0,1.0,61.9792,male,C,61 - 70,41 - 80
1.0,1.0,42.0,0.0,0.0,35.5,male,S,41 - 55,21 - 40
1.0,2.0,21.0,0.0,0.0,10.5,female,S,21 - 30,11 - 20
0.0,3.0,28.5,0.0,0.0,7.2292,male,C,21 - 30,1 - 10
1.0,2.0,5.0,1.0,2.0,27.75,female,S,1 - 5,21 - 40
0.0,3.0,11.0,5.0,2.0,46.9,male,S,11 - 15,41 - 80
0.0,3.0,22.0,0.0,0.0,7.2292,male,C,21 - 30,1 - 10
1.0,1.0,38.0,0.0,0.0,80.0,female,,31 - 40,41 - 80
0.0,1.0,45.0,1.0,0.0,83.475,male,S,41 - 55,81 - 160
0.0,3.0,4.0,3.0,2.0,27.9,male,S,1 - 5,21 - 40
0.0,1.0,35.0,0.0,0.0,27.7208,male,C,31 - 40,21 - 40
1.0,3.0,11.5,1.0,1.0,15.2458,male,C,11 - 15,11 - 20
1.0,2.0,29.0,0.0,0.0,10.5,female,S,21 - 30,11 - 20
0.0,3.0,19.0,0.0,0.0,8.1583,male,S,16 - 20,1 - 10
1.0,3.0,17.0,4.0,2.0,7.925,female,S,16 - 20,1 - 10
0.0,3.0,26.0,2.0,0.0,8.6625,male,S,21 - 30,1 - 10
0.0,2.0,32.0,0.0,0.0,10.5,male,S,31 - 40,11 - 20
0.0,3.0,16.0,5.0,2.0,46.9,female,S,16 - 20,41 - 80
0.0,2.0,21.0,0.0,0.0,73.5,male,S,21 - 30,41 - 80
0.0,3.0,26.0,1.0,0.0,14.4542,male,C,21 - 30,11 - 20
1.0,3.0,32.0,0.0,0.0,56.4958,male,S,31 - 40,41 - 80
0.0,3.0,25.0,0.0,0.0,7.65,male,S,21 - 30,1 - 10
0.0,3.0,33.0,0.0,0.0,7.8958,male,S,31 - 40,1 - 10
0.0,3.0,27.5,0.0,0.0,8.05,male,S,21 - 30,1 - 10
1.0,2.0,0.83,0.0,2.0,29.0,male,S,1 - 5,21 - 40
1.0,3.0,30.0,0.0,0.0,12.475,female,S,21 - 30,11 - 20
0.0,3.0,22.0,0.0,0.0,9.0,male,S,21 - 30,1 - 10
1.0,3.0,29.0,0.0,0.0,9.5,male,S,21 - 30,1 - 10
1.0,3.0,22.0,0.0,0.0,7.7875,female,Q,21 - 30,1 - 10
0.0,1.0,28.0,0.0,0.0,47.1,male,S,21 - 30,41 - 80
1.0,2.0,17.0,0.0,0.0,10.5,female,S,16 - 20,11 - 20
1.0,3.0,33.0,3.0,0.0,15.85,female,S,31 - 40,11 - 20
0.0,3.0,16.0,1.0,3.0,34.375,male,S,16 - 20,21 - 40
0.0,3.0,27.5,0.0,0.0,8.05,male,S,21 - 30,1 - 10
1.0,1.0,23.0,3.0,2.0,263.0,female,S,21 - 30,161 - 320
0.0,3.0,24.0,0.0,0.0,8.05,male,S,21 - 30,1 - 10
0.0,3.0,29.0,0.0,0.0,8.05,male,S,21 - 30,1 - 10
